dealer,country,slug,listings_url_final,original_url,cars,via_parent,found
Vintage & Prestige Classic Cars,UK,vandp,https://vandp.net,https://vandp.net,1,False,357
Veloce Classic and Sports Cars Ltd,UK,veloceclassic,https://www.veloceclassic.com/inventory/,https://www.veloceclassic.com/inventory/1627-1965-porsche-911-901.html,4,True,239
Garage Maestricht,NL,garagemaestricht,https://www.garagemaestricht.nl/for-sale/,https://www.garagemaestricht.nl/for-sale/1993-saab-900s-convertible,4,True,191
Marmini Cars,NL,marminicars,https://www.marminicars.nl/aanbod/id12126/alfa-romeo-giulia-1300ti-.html,https://www.marminicars.nl/aanbod/id12126/alfa-romeo-giulia-1300ti-.html,0,False,168
Nache Automobiles,FR,nache-automobiles,https://nache-automobiles.com/voiture/aston-martin-v8-vantage-roadster.html,https://nache-automobiles.com/voiture/aston-martin-v8-vantage-roadster.html,0,False,142
Amari Super Cars,UK,amarisupercars,https://www.amarisupercars.com/stock/details/2023-porsche-911-gt3-rs-gt3-rs-pdk-semi-auto/1241754,https://www.amarisupercars.com/stock/details/2023-porsche-911-gt3-rs-gt3-rs-pdk-semi-auto/1241754,0,False,126
Chromecars,DE,chromecars,https://www.chromecars.de/fahrzeuge/,https://www.chromecars.de/fahrzeuge/,2,False,107
Andrew Hardy Classics,UK,hardyclassics,https://www.hardyclassics.co.uk/classic-cars-for-sale-1,https://www.hardyclassics.co.uk/classic-cars-for-sale-1,3,False,98
Classics-World,NL,classics-world,https://classics-world.com/collectie,https://classics-world.com/collectie,0,False,89
Bicester Sports & Classics,UK,bicestersportscars,https://bicestersportscars.co.uk/showroom/,https://bicestersportscars.co.uk/showroom/,4,False,80
Peter Bradfield Ltd,UK,bradfieldcars,https://www.bradfieldcars.com/cars,https://www.bradfieldcars.com/cars,2,False,78
E&R Classics,NL,erclassics,https://www.erclassics.com/classic-cars-for-sale/,https://www.erclassics.com/classic-cars-for-sale/,4,False,74
Yorkshire Classic & Sports Cars,UK,ycsc,https://ycsc.co.uk/showroom/,https://ycsc.co.uk/showroom/,2,False,72
Classicmaster,NL,classicmaster,https://classicmaster.nl/occasions-kopen/54381487-mercedes-benz-s-klasse-400-hybrid-amg-styling-exclusive,https://classicmaster.nl/occasions-kopen/54381487-mercedes-benz-s-klasse-400-hybrid-amg-styling-exclusive,0,False,70
Gallery Aaldering,NL,gallery-aaldering,https://www.gallery-aaldering.com/collection/,https://www.gallery-aaldering.com/collection/,0,False,68
Classic Cruising,FR,classic-cruising-automobile,https://www.classic-cruising-automobile.com/nos-vehicules/c-3.html,https://www.classic-cruising-automobile.com/nos-vehicules/c-3.html,0,False,61
Black & White Cars of Bournemouth,UK,blackandwhitecarsbmth,https://www.blackandwhitecarsbmth.com/showroom/used-car/lexus-sc-430-v8-2002-56000-miles-flsh,https://www.blackandwhitecarsbmth.com/showroom/used-car/lexus-sc-430-v8-2002-56000-miles-flsh,0,False,58
Epping Motor Co,UK,eppingmotorcompany,http://www.eppingmotorcompany.com/stock/page1/stocklist-1.htm,http://www.eppingmotorcompany.com/stock/page1/stocklist-1.htm,0,False,55
Auto Leitner,NL,autoleitner,https://www.autoleitner.nl/car-for-sale/1779617544-2023-rolls-royce-ghost,https://www.autoleitner.nl/car-for-sale/1779617544-2023-rolls-royce-ghost,0,False,50
The Classic Connection,UK,classicconnection,https://www.classicconnection.co.uk/vehicles,https://www.classicconnection.co.uk/vehicles,4,False,50
Touring Garage AG,CH,oldtimers,https://www.oldtimers.ch/cars,https://www.oldtimers.ch/cars,4,False,49
Guikas GTC,FR,gtc-collection-cars,https://www.gtc-collection-cars.com/classic-car/news--events_120.html,https://www.gtc-collection-cars.com/classic-car/news--events_120.html,1,False,47
Wheels by Lex,NL,wheelsbylex,https://wheelsbylex.nl/occasions-kopen/40325654-daimler-double-six-5-3-v12-origineel-nl-auto-zeer-lage-km-stand,https://wheelsbylex.nl/occasions-kopen/40325654-daimler-double-six-5-3-v12-origineel-nl-auto-zeer-lage-km-stand,0,False,45
Spinningwheel Classic Cars,UK,spinningwheelclassiccars,https://www.spinningwheelclassiccars.com,https://www.spinningwheelclassiccars.com,2,False,44
Classic Car Design,FR,classiccardesign,https://www.classiccardesign.fr/voiture-prestige-classic-à-vendre,https://www.classiccardesign.fr/voiture-prestige-classic-à-vendre,0,False,44
House of Cars,BE,houseofcars,https://www.houseofcars.be/nos-vehicules/,https://www.houseofcars.be/nos-vehicules/,1,False,42
DriveCity,BE,drivecity,https://drivecity.be/for-sale,https://drivecity.be/for-sale,4,False,39
HCC – Holland Car Company B.V.,NL,hollandcarcompany,https://hollandcarcompany.nl/occasions-kopen/45781320-land-rover-defender-110-p400e-hse-x-dynamic-urban-widetrack-custom,https://hollandcarcompany.nl/occasions-kopen/45781320-land-rover-defender-110-p400e-hse-x-dynamic-urban-widetrack-custom,0,False,38
Autovero,UK,autovero,https://www.autovero.co.uk/used/vehicles/,https://www.autovero.co.uk/used/vehicles/,0,False,38
VSOC; Very Superior Old Cars,NL,vsoc,https://vsoc.nl/collection,https://vsoc.nl/collection,4,False,36
Duncan Hamilton Rofgo,UK,dhrofgo,https://www.dhrofgo.com/shop,https://www.dhrofgo.com/shop,4,False,34
